X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
11,10,12,10,12,12,12,11,12,14,16,17,18,20,21,21,18,17,16,16,14,12,12,13
10,12,10,12,12,12,11,12,14,16,17,18,20,21,21,18,17,16,16,14,12,12,13,12
12,10,12,12,12,11,12,14,16,17,18,20,21,21,18,17,16,16,14,12,12,13,12,10
10,12,12,12,11,12,14,16,17,18,20,21,21,18,17,16,16,14,12,12,13,12,10,11
12,12,12,11,12,14,16,17,18,20,21,21,18,17,16,16,14,12,12,13,12,10,11,12
12,12,11,12,14,16,17,18,20,21,21,18,17,16,16,14,12,12,13,12,10,11,12,11
12,11,12,14,16,17,18,20,21,21,18,17,16,16,14,12,12,13,12,10,11,12,11,12
11,12,14,16,17,18,20,21,21,18,17,16,16,14,12,12,13,12,10,11,12,11,12,12
12,14,16,17,18,20,21,21,18,17,16,16,14,12,12,13,12,10,11,12,11,12,12,11
14,16,17,18,20,21,21,18,17,16,16,14,12,12,13,12,10,11,12,11,12,12,11,13
16,17,18,20,21,21,18,17,16,16,14,12,12,13,12,10,11,12,11,12,12,11,13,14
17,18,20,21,21,18,17,16,16,14,12,12,13,12,10,11,12,11,12,12,11,13,14,17
18,20,21,21,18,17,16,16,14,12,12,13,12,10,11,12,11,12,12,11,13,14,17,19
20,21,21,18,17,16,16,14,12,12,13,12,10,11,12,11,12,12,11,13,14,17,19,19
21,21,18,17,16,16,14,12,12,13,12,10,11,12,11,12,12,11,13,14,17,19,19,21
21,18,17,16,16,14,12,12,13,12,10,11,12,11,12,12,11,13,14,17,19,19,21,21
18,17,16,16,14,12,12,13,12,10,11,12,11,12,12,11,13,14,17,19,19,21,21,19
17,16,16,14,12,12,13,12,10,11,12,11,12,12,11,13,14,17,19,19,21,21,19,19
16,16,14,12,12,13,12,10,11,12,11,12,12,11,13,14,17,19,19,21,21,19,19,19
16,14,12,12,13,12,10,11,12,11,12,12,11,13,14,17,19,19,21,21,19,19,19,16
14,12,12,13,12,10,11,12,11,12,12,11,13,14,17,19,19,21,21,19,19,19,16,15
